pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec
11 Com b,2,1,Radial Velocity,2007,326.03,1.29,,6165.6,0.231,,,4742,19,2.7,185.1787793,17.7932516
11 UMi b,1,1,Radial Velocity,2009,516.21997,1.53,,4684.8142,0.08,,,4213,29.79,2.78,229.2745954,71.8239428
14 And b,1,1,Radial Velocity,2008,185.84,0.83,,1525.5,0,,,4813,11,2.2,352.82415,39.2358367
14 Her b,1,1,Radial Velocity,2002,1773.40002,2.93,,1481.0878,0.37,,,5338,0.93,0.9,242.6021014,43.8163621
16 Cyg B b,3,1,Radial Velocity,1996,798.5,1.66,,565.7374,0.68,,,5750,1.13,1.08,295.4656422,50.5168243
18 Del b,2,1,Radial Velocity,2008,993.3,2.6,,3273.5,0.08,,,4979,8.5,2.3,314.6078375,10.8391378
1RXS J160929.1-210524 b,1,1,Imaging,2008,,330,,3000,,,1700,4060,,0.85,242.3762343,-21.0831403
24 Boo b,1,1,Radial Velocity,2018,30.3506,0.19,,289.2253,0.042,,,4893,10.64,0.99,217.1555242,49.8446488
24 Sex b,1,2,Radial Velocity,2010,452.8,1.333,,632.46,0.09,,,5098,4.9,1.54,155.8684866,-0.9023998
24 Sex c,1,2,Radial Velocity,2010,883,2.08,,273.32,0.29,,,5098,4.9,1.54,155.8684866,-0.9023998
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,,84,,4131.79,,,,,,0.19,15.8992489,-55.2658291
2MASS J01225093-2439505 b,1,1,Imaging,2013,,52,,7786.5,,,,3530,,0.4,20.7128012,-24.6646128
2MASS J02192210-3925225 b,1,1,Imaging,2015,,156,16.141,4417.837,,,,3064,0.28,0.11,34.8427046,-39.4230767
2MASS J04414489+2301513 b,1,1,Imaging,2010,,15,,2383.6,,,,,,0.02,70.4371079,23.0308544
2MASS J12073346-3932539 b,1,1,Imaging,2004,,55,,1589.15,,,1250,,,0.02,181.8890906,-39.5484399
2MASS J19383260+4603591 b,2,1,Eclipse Timing Variations,2015,416,0.92,,603.877,,,,,,0.48,294.6359173,46.0664076
2MASS J21402931+1625183 A b,1,1,Imaging,2009,7336.5,,10.31,6657.48,0.26,,2075,2300,0.12,0.08,325.1218214,16.4213408
2MASS J22362452+4751425 b,1,1,Imaging,2016,,230,,3972.875,,,,4045,,0.6,339.1025931,47.861683
30 Ari B b,4,1,Radial Velocity,2009,335.10001,0.99,,4392.4106,0.29,,,6331,1.41,1.93,39.2412736,24.6480103
4 UMa b,1,1,Radial Velocity,2006,269.3,0.87,,2256.5,0.432,,,4415,18.11,1.23,130.0528099,64.3280504
42 Dra b,2,1,Radial Velocity,2008,479.1,1.19,,1233.13,0.38,,,4200,22.03,0.98,276.4975053,65.5633652
47 UMa b,1,3,Radial Velocity,1996,1078,2.1,,804.08,0.032,,,5872,1.21,1.06,164.8647611,40.4304931
47 UMa c,1,3,Radial Velocity,2001,2391,3.6,,171.621,0.098,,,5872,1.21,1.06,164.8647611,40.4304931
47 UMa d,1,3,Radial Velocity,2009,14002,11.6,,521.22,0.16,,,5872,1.21,1.06,164.8647611,40.4304931
51 Eri b,3,1,Imaging,2015,,13.2,,635.66,,,700,,,1.75,69.4007424,-2.4738245
51 Peg b,1,1,Radial Velocity,1995,4.230785,0.0527,,150.009,0.013,,,5758,1.18,1.03,344.3675399,20.7690958
55 Cnc b,2,5,Radial Velocity,1996,14.6516,0.1134,,255.4,0,,,5172,0.94,0.91,133.1468373,28.3298154
55 Cnc c,2,5,Radial Velocity,2004,44.3989,0.2373,,51.2,0.03,,,5172,0.94,0.91,133.1468373,28.3298154
55 Cnc d,2,5,Radial Velocity,2002,5574.2,5.957,,991.6,0.13,,,5172,0.94,0.91,133.1468373,28.3298154
